AVG 48.6%

Ep0 4s lossLab=144.0294 trainAcc=0.0875 testAcc=10.42 maxAcc=10.42 Ep0 testAccE=10.42 testF1E=2.95 maxAccE=10.42 maxF1E=2.95 Ep0
Ep34 0s lossLab=1.4295 trainAcc=0.5667 testAcc=35.42 maxAcc=47.92 Ep33 testAccE=10.42 testF1E=5.67 maxAccE=14.58 maxF1E=7.36 Ep32
Ep35 0s lossLab=1.2163 trainAcc=0.5750 testAcc=25.00 maxAcc=47.92 Ep33 testAccE=10.42 testF1E=5.67 maxAccE=14.58 maxF1E=7.36 Ep32
Ep36 0s lossLab=0.7674 trainAcc=0.6917 testAcc=41.67 maxAcc=47.92 Ep33 testAccE=8.33 testF1E=4.66 maxAccE=14.58 maxF1E=7.36 Ep32
Ep37 0s lossLab=0.5279 trainAcc=0.8083 testAcc=52.08 maxAcc=52.08 Ep37 testAccE=6.25 testF1E=2.68 maxAccE=14.58 maxF1E=7.36 Ep32
Ep38 0s lossLab=0.3925 trainAcc=0.8458 testAcc=43.75 maxAcc=52.08 Ep37 testAccE=6.25 testF1E=2.68 maxAccE=14.58 maxF1E=7.36 Ep32
Ep39 0s lossLab=0.9188 trainAcc=0.6542 testAcc=52.08 maxAcc=52.08 Ep39 testAccE=6.25 testF1E=2.50 maxAccE=14.58 maxF1E=7.36 Ep32
Ep40 0s lossLab=0.4862 trainAcc=0.8333 testAcc=45.83 maxAcc=52.08 Ep39 testAccE=10.42 testF1E=2.96 maxAccE=14.58 maxF1E=7.36 Ep32
Ep41 0s lossLab=0.2762 trainAcc=0.8583 testAcc=50.00 maxAcc=52.08 Ep39 testAccE=10.42 testF1E=2.70 maxAccE=14.58 maxF1E=7.36 Ep32
Ep42 0s lossLab=0.7581 trainAcc=0.7792 testAcc=31.25 maxAcc=52.08 Ep39 testAccE=10.42 testF1E=2.55 maxAccE=14.58 maxF1E=7.36 Ep32
Ep43 0s lossLab=1.2251 trainAcc=0.6500 testAcc=47.92 maxAcc=52.08 Ep39 testAccE=10.42 testF1E=2.53 maxAccE=14.58 maxF1E=7.36 Ep32
Ep44 0s lossLab=0.5244 trainAcc=0.8167 testAcc=37.50 maxAcc=52.08 Ep39 testAccE=10.42 testF1E=2.53 maxAccE=14.58 maxF1E=7.36 Ep32
Ep45 0s lossLab=0.5784 trainAcc=0.8167 testAcc=52.08 maxAcc=52.08 Ep45 testAccE=10.42 testF1E=2.51 maxAccE=14.58 maxF1E=7.36 Ep32
Ep46 0s lossLab=0.1926 trainAcc=0.9292 testAcc=37.50 maxAcc=52.08 Ep45 testAccE=10.42 testF1E=2.48 maxAccE=14.58 maxF1E=7.36 Ep32
Ep47 0s lossLab=0.5108 trainAcc=0.8292 testAcc=41.67 maxAcc=52.08 Ep45 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep48 0s lossLab=2.3896 trainAcc=0.4667 testAcc=39.58 maxAcc=52.08 Ep45 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep49 0s lossLab=0.8514 trainAcc=0.6958 testAcc=58.33 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep50 0s lossLab=0.6932 trainAcc=0.7500 testAcc=50.00 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Model saved in file: ./saveModel/model-50
Ep51 0s lossLab=0.4876 trainAcc=0.8375 testAcc=45.83 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep52 0s lossLab=0.4508 trainAcc=0.8292 testAcc=45.83 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep53 0s lossLab=0.2795 trainAcc=0.9125 testAcc=43.75 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep54 0s lossLab=0.3678 trainAcc=0.8583 testAcc=31.25 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep55 0s lossLab=0.6830 trainAcc=0.7583 testAcc=56.25 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep56 0s lossLab=0.2683 trainAcc=0.9125 testAcc=52.08 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep57 0s lossLab=0.1945 trainAcc=0.9417 testAcc=45.83 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep58 0s lossLab=0.1145 trainAcc=0.9667 testAcc=41.67 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep59 0s lossLab=0.4786 trainAcc=0.8458 testAcc=45.83 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep60 0s lossLab=0.0540 trainAcc=1.0000 testAcc=52.08 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep61 0s lossLab=0.0183 trainAcc=1.0000 testAcc=54.17 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep62 0s lossLab=0.0111 trainAcc=1.0000 testAcc=52.08 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep63 0s lossLab=0.0070 trainAcc=1.0000 testAcc=54.17 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep64 0s lossLab=0.0048 trainAcc=1.0000 testAcc=54.17 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep65 0s lossLab=0.0032 trainAcc=1.0000 testAcc=50.00 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep66 0s lossLab=0.0028 trainAcc=1.0000 testAcc=54.17 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep67 0s lossLab=0.0024 trainAcc=1.0000 testAcc=52.08 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep68 0s lossLab=0.0018 trainAcc=1.0000 testAcc=52.08 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep69 0s lossLab=0.0016 trainAcc=1.0000 testAcc=52.08 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
Ep70 0s lossLab=0.0015 trainAcc=1.0000 testAcc=52.08 maxAcc=58.33 Ep49 testAccE=10.42 testF1E=2.46 maxAccE=14.58 maxF1E=7.36 Ep32
